5.3	3.7	0.8267	0.8185	0.8226
5.3	3.8	0.83	0.8218	0.8259
5.3	3.9	0.8433	0.835	0.8391
5.3	4.0	0.8567	0.8482	0.8524
5.3	4.1	0.8667	0.8581	0.8624
5.3	4.2	0.87	0.8614	0.8657
5.3	4.3	0.86	0.8515	0.8557
5.3	4.4	0.8633	0.8548	0.859
5.3	4.5	0.8667	0.8581	0.8624
5.3	4.6	0.8833	0.8746	0.8789
5.3	4.7	0.88	0.8713	0.8756
5.3	4.8	0.8667	0.8581	0.8624
5.3	4.9	0.87	0.8614	0.8657
5.3	5.0	0.8667	0.8581	0.8624
5.3	5.1	0.8571	0.8515	0.8543
5.3	5.2	0.8372	0.8317	0.8344
5.3	5.3	0.8239	0.8185	0.8212
5.3	5.4	0.814	0.8086	0.8113
5.3	5.5	0.804	0.7987	0.8013
5.3	5.6	0.8046	0.802	0.8033
5.3	5.7	0.8013	0.7987	0.8
5.3	5.8	0.7921	0.7921	0.7921
5.3	5.9	0.7855	0.7855	0.7855
5.4	3.7	0.8333	0.8251	0.8292
5.4	3.8	0.8367	0.8284	0.8325
5.4	3.9	0.85	0.8416	0.8458
5.4	4.0	0.8633	0.8548	0.859
5.4	4.1	0.8733	0.8647	0.869
5.4	4.2	0.8767	0.868	0.8723
5.4	4.3	0.8667	0.8581	0.8624
5.4	4.4	0.87	0.8614	0.8657
5.4	4.5	0.8733	0.8647	0.869
5.4	4.6	0.89	0.8812	0.8856
5.4	4.7	0.8867	0.8779	0.8823
5.4	4.8	0.8733	0.8647	0.869
5.4	4.9	0.8767	0.868	0.8723
5.4	5.0	0.8733	0.8647	0.869
5.4	5.1	0.8638	0.8581	0.8609
5.4	5.2	0.8439	0.8383	0.8411
5.4	5.3	0.8306	0.8251	0.8278
5.4	5.4	0.8206	0.8152	0.8179
5.4	5.5	0.8106	0.8053	0.8079
5.4	5.6	0.8113	0.8086	0.8099
5.4	5.7	0.8079	0.8053	0.8066
5.4	5.8	0.7987	0.7987	0.7987
5.4	5.9	0.7921	0.7921	0.7921
5.5	3.7	0.8367	0.8284	0.8325
5.5	3.8	0.84	0.8317	0.8358
5.5	3.9	0.8533	0.8449	0.8491
5.5	4.0	0.8667	0.8581	0.8624
5.5	4.1	0.8767	0.868	0.8723
5.5	4.2	0.88	0.8713	0.8756
5.5	4.3	0.87	0.8614	0.8657
5.5	4.4	0.8733	0.8647	0.869
5.5	4.5	0.8767	0.868	0.8723
5.5	4.6	0.8933	0.8845	0.8889
5.5	4.7	0.89	0.8812	0.8856
5.5	4.8	0.8767	0.868	0.8723
5.5	4.9	0.88	0.8713	0.8756
5.5	5.0	0.8767	0.868	0.8723
5.5	5.1	0.8671	0.8614	0.8642
5.5	5.2	0.8472	0.8416	0.8444
5.5	5.3	0.8339	0.8284	0.8311
5.5	5.4	0.8239	0.8185	0.8212
5.5	5.5	0.814	0.8086	0.8113
5.5	5.6	0.8146	0.8119	0.8132
5.5	5.7	0.8113	0.8086	0.8099
5.5	5.8	0.802	0.802	0.802
5.5	5.9	0.7954	0.7954	0.7954
5.6	3.7	0.84	0.8317	0.8358
5.6	3.8	0.8433	0.835	0.8391
5.6	3.9	0.8567	0.8482	0.8524
5.6	4.0	0.87	0.8614	0.8657
5.6	4.1	0.88	0.8713	0.8756
5.6	4.2	0.8833	0.8746	0.8789
5.6	4.3	0.8733	0.8647	0.869
5.6	4.4	0.8767	0.868	0.8723
5.6	4.5	0.88	0.8713	0.8756
5.6	4.6	0.8967	0.8878	0.8922
5.6	4.7	0.8933	0.8845	0.8889
5.6	4.8	0.88	0.8713	0.8756
5.6	4.9	0.8833	0.8746	0.8789
5.6	5.0	0.88	0.8713	0.8756
5.6	5.1	0.8704	0.8647	0.8675
5.6	5.2	0.8505	0.8449	0.8477
5.6	5.3	0.8372	0.8317	0.8344
5.6	5.4	0.8272	0.8218	0.8245
5.6	5.5	0.8173	0.8119	0.8146
5.6	5.6	0.8179	0.8152	0.8165
5.6	5.7	0.8146	0.8119	0.8132
5.6	5.8	0.8053	0.8053	0.8053
5.6	5.9	0.7987	0.7987	0.7987
5.7	3.7	0.8433	0.835	0.8391
5.7	3.8	0.8467	0.8383	0.8425
5.7	3.9	0.86	0.8515	0.8557
5.7	4.0	0.8733	0.8647	0.869
5.7	4.1	0.8833	0.8746	0.8789
5.7	4.2	0.8867	0.8779	0.8823
5.7	4.3	0.8767	0.868	0.8723
5.7	4.4	0.88	0.8713	0.8756
5.7	4.5	0.8833	0.8746	0.8789
5.7	4.6	0.9	0.8911	0.8955
5.7	4.7	0.8967	0.8878	0.8922
5.7	4.8	0.8833	0.8746	0.8789
5.7	4.9	0.8867	0.8779	0.8823
5.7	5.0	0.8833	0.8746	0.8789
5.7	5.1	0.8738	0.868	0.8709
5.7	5.2	0.8538	0.8482	0.851
5.7	5.3	0.8405	0.835	0.8377
5.7	5.4	0.8306	0.8251	0.8278
5.7	5.5	0.8206	0.8152	0.8179
5.7	5.6	0.8212	0.8185	0.8198
5.7	5.7	0.8179	0.8152	0.8165
5.7	5.8	0.8086	0.8086	0.8086
5.7	5.9	0.802	0.802	0.802
