AIY_adv	TUY_adv	HeadwayFoll_adv	GapFoll_adv	AIY_stop	TUY_stop	HeadwayFoll_stop	GapFoll_stop	travel_time	adv_indication	decision	car_follow	occ_ratio
2.9	147.1	8.7	8.2	11.7	138.3	13.4	12.5	8.8	0.0	0.0	0.0	174.6
1.1	148.9	9.8	9.1	8.2	141.8	11.9	10.7	7.1	0.0	0.0	0.0	207.25
147.0	3.0	2.1	1.8	1.8	148.2	2.2	1.3	4.8	1.0	1.0	0.0	4.5
146.7	3.3	5.9	5.4	1.4	148.6	8.2	7.2	4.7	1.0	1.0	0.0	1.6
148.3	1.7	1.3	0.9	3.0	147.0	1.6	0.8	4.7	1.0	1.0	1.0	2.0
0.5	149.5	3.8	3.3	6.6	143.4	3.6	3.0	6.1	0.0	0.0	0.0	120.2857
148.0	2.0	19.7	19.0	2.4	147.6	9.2	8.3	4.4	1.0	1.0	0.0	1.0
0.2	149.8	13.0	12.4	5.4	144.6	11.2	9.8	5.2	0.0	0.0	0.0	449.5
147.6	2.4	1.8	1.5	1.4	148.6	1.9	1.2	3.8	1.0	1.0	1.0	2.6667
2.5	147.5	7.0	6.6	9.8	140.2	10.4	9.6	7.3	0.0	0.0	0.0	196.5
146.8	3.2	1.5	1.3	1.4	148.6	2.1	1.3	4.6	1.0	1.0	1.0	2.25
0.1	149.9	3.3	2.9	5.6	144.4	4.2	3.3	5.5	0.0	0.0	0.0	494.5
148.6	1.4	6.2	5.9	3.2	146.8	6.5	5.8	4.6	1.0	1.0	0.0	2.25
1.1	148.9	2.5	2.1	7.0	143.0	3.8	2.9	5.9	0.0	0.0	0.0	234.75
2.7	147.3	1.6	1.2	8.9	141.1	10.3	9.4	6.2	0.0	0.0	1.0	232.25
0.0	150.0	10.8	10.5	6.1	143.9	11.5	10.5	6.1	0.0	1.0	0.0	85.0
0.1	149.9	11.7	11.3	6.6	143.4	13.5	12.6	6.5	0.0	0.0	0.0	292.6667
146.1	3.9	1.2	0.9	0.6	149.4	1.2	0.2	4.5	1.0	1.0	1.0	6.0
148.0	2.0	1.9	1.6	3.3	146.7	2.7	0.9	5.3	1.0	1.0	0.0	2.2
146.3	3.7	7.4	7.1	1.6	148.4	8.8	8.1	5.3	1.0	1.0	0.0	2.0
148.9	1.1	2.6	2.1	3.6	146.4	2.0	1.0	4.7	1.0	1.0	0.0	2.25
1.4	148.6	2.5	2.1	8.4	141.6	4.8	3.9	7.0	0.0	0.0	0.0	168.0
146.5	3.5	2.0	1.7	0.7	149.3	1.9	1.1	4.2	1.0	1.0	0.0	3.0
0.0	150.0	3.5	3.2	4.5	145.5	3.8	2.9	4.5	0.0	1.0	0.0	3.5
146.3	3.7	2.4	2.0	1.5	148.5	1.7	0.7	5.2	1.0	1.0	0.0	2.75
148.6	1.4	2.3	1.9	3.3	146.7	1.8	0.7	4.7	1.0	1.0	0.0	2.25
145.4	4.6	2.2	1.9	0.2	149.8	2.3	1.4	4.8	1.0	1.0	0.0	2.25
1.0	149.0	35.4	35.0	5.8	144.2	34.9	34.0	4.8	0.0	0.0	0.0	483.0
2.7	147.3	17.4	17.1	10.2	139.8	20.9	20.1	7.5	0.0	0.0	0.0	268.0
0.5	149.5	8.3	8.0	7.2	142.8	10.4	9.5	6.7	0.0	0.0	0.0	198.0
147.5	2.5	4.8	4.6	2.2	147.8	5.5	4.7	4.7	1.0	1.0	0.0	3.3333
2.7	147.3	3.7	3.3	9.7	140.3	7.5	6.5	7.0	0.0	0.0	0.0	264.0
149.0	1.0	1.5	1.2	3.4	146.6	8.0	7.2	4.4	1.0	1.0	1.0	1.75
147.2	2.8	1.4	1.1	1.7	148.3	4.1	1.2	4.5	1.0	1.0	1.0	3.0
0.1	149.9	2.9	2.6	7.3	142.7	5.6	4.7	7.2	0.0	0.0	0.0	197.4
145.1	4.9	1.5	1.2	0.4	149.6	0.9	0.1	5.3	1.0	1.0	1.0	2.6667
146.6	3.4	1.5	1.2	1.5	148.5	1.1	0.3	4.9	1.0	1.0	1.0	5.0
148.3	1.7	1.7	1.5	2.9	147.1	1.4	0.4	4.6	1.0	1.0	1.0	2.5
3.0	147.0	4.7	4.3	10.8	139.2	7.9	6.9	7.8	0.0	0.0	0.0	219.5
0.0	150.0	3.5	3.2	6.5	143.5	7.1	6.1	6.5	0.0	0.0	0.0	86.0
146.3	3.7	15.1	14.7	0.9	149.1	15.2	14.4	4.6	1.0	1.0	0.0	3.0
0.5	149.5	4.2	3.9	6.6	143.4	5.7	4.8	6.1	0.0	0.0	0.0	265.6667
148.8	1.2	10.0	9.6	4.2	145.8	9.9	8.8	5.4	1.0	0.0	0.0	282.3333
147.5	2.5	7.7	7.3	2.3	147.7	5.8	4.5	4.8	1.0	1.0	0.0	2.0
0.1	149.9	7.0	6.7	5.3	144.7	8.6	7.9	5.2	0.0	0.0	0.0	317.3333
146.8	3.2	8.1	7.6	2.8	147.2	2.0	1.0	6.0	1.0	1.0	0.0	2.2
147.2	2.8	3.3	2.9	1.7	148.3	3.1	2.2	4.5	1.0	1.0	0.0	2.0
3.1	146.9	5.9	5.5	10.9	139.1	9.2	8.4	7.8	0.0	0.0	0.0	223.0
1.8	148.2	6.0	5.8	8.0	142.0	8.5	7.8	6.2	0.0	0.0	0.0	309.6667
1.8	148.2	7.5	7.2	8.4	141.6	10.0	9.2	6.6	0.0	0.0	0.0	132.5714
144.1	5.9	1.7	1.3	2.1	147.9	4.8	0.4	8.0	1.0	1.0	1.0	2.1667
145.2	4.8	1.1	0.5	3.6	146.4	1.5	0.2	8.4	1.0	0.0	1.0	158.8
144.1	5.9	3.2	2.8	0.4	149.6	3.9	2.9	6.3	1.0	1.0	0.0	2.0
145.6	4.4	1.5	1.0	1.9	148.1	1.5	0.5	6.3	1.0	1.0	1.0	1.8333
148.2	1.8	2.6	2.0	4.2	145.8	2.3	1.2	6.0	1.0	1.0	0.0	2.5
2.9	147.1	4.7	4.3	9.9	140.1	5.7	4.7	7.0	0.0	0.0	0.0	236.6667
146.3	3.7	3.6	3.1	1.0	149.0	3.9	3.1	4.7	1.0	1.0	0.0	1.1111
149.8	0.2	25.5	25.1	5.1	144.9	26.0	25.1	5.3	1.0	0.0	0.0	240.6667
145.5	4.5	9.3	8.9	0.0	150.0	9.1	8.2	4.5	1.0	1.0	0.0	2.6667
1.2	148.8	5.7	5.4	8.4	141.6	8.4	7.6	7.2	0.0	0.0	0.0	207.5
149.0	1.0	11.1	10.3	6.4	143.6	14.5	13.7	7.4	1.0	0.0	0.0	216.5
146.8	3.2	5.9	5.7	0.6	149.4	6.9	6.5	3.8	1.0	1.0	0.0	3.5
0.6	149.4	3.8	3.6	6.8	143.2	6.2	5.5	6.2	0.0	0.0	0.0	199.5
149.5	0.5	7.7	7.5	2.9	147.1	7.8	7.2	3.4	1.0	1.0	0.0	3.0
148.8	1.2	12.3	11.9	2.3	147.7	10.2	9.2	3.5	1.0	1.0	0.0	2.3333
1.2	148.8	2.4	2.1	6.9	143.1	4.6	3.9	5.7	0.0	0.0	0.0	270.6667
146.0	4.0	4.8	4.4	1.0	149.0	5.2	4.3	5.0	1.0	1.0	0.0	2.25
2.1	147.9	11.5	11.2	8.4	141.6	13.2	12.2	6.3	0.0	0.0	0.0	125.2857
3.2	146.8	22.7	22.0	11.1	138.9	32.2	31.1	7.9	0.0	0.0	0.0	171.4
3.0	147.0	6.5	6.2	9.6	140.4	14.6	13.7	6.6	0.0	0.0	0.0	113.25
145.3	4.7	6.5	5.1	1.2	148.8	4.3	2.6	5.9	1.0	1.0	0.0	2.0
147.3	2.7	2.0	1.5	3.2	146.8	2.0	1.0	5.9	1.0	1.0	1.0	2.0
149.9	0.1	2.6	2.1	5.5	144.5	2.3	1.3	5.6	1.0	0.0	0.0	237.0
144.0	6.0	2.9	2.5	150.0	0.0	2.8	1.8	6.0	1.0	1.0	0.0	2.2
147.2	2.8	3.2	2.7	3.0	147.0	3.0	1.9	5.8	1.0	1.0	0.0	2.5
147.2	2.8	4.8	4.5	1.0	149.0	5.3	4.2	3.8	1.0	1.0	0.0	2.0
145.3	4.7	4.9	4.5	0.1	149.9	3.6	2.8	4.8	1.0	1.0	0.0	2.0
148.1	1.9	2.8	2.4	2.0	148.0	1.9	1.1	3.9	1.0	1.0	0.0	2.25
146.9	3.1	4.4	4.0	3.0	147.0	4.9	3.9	6.1	1.0	1.0	0.0	2.4
