AIY_adv	TUY_adv	HeadwayFoll_adv	GapFoll_adv	AIY_stop	TUY_stop	HeadwayFoll_stop	GapFoll_stop	travel_time	adv_indication	decision	car_follow	occ_ratio
149.6	0.4	1.7	1.3	5.8	144.2	3.4	2.5	6.2	1.0	0.0	1.0	304.0
2.0	148.0	49.3	48.7	9.2	140.8	49.6	48.5	7.2	0.0	0.0	0.0	263.3333
1.2	148.8	49.8	49.1	7.6	142.4	49.6	48.7	6.4	0.0	0.0	0.0	272.0
0.6	149.4	28.0	27.7	6.1	143.9	29.3	28.5	5.5	0.0	0.0	0.0	280.6667
1.1	148.9	17.5	17.2	8.0	142.0	18.1	16.9	6.9	0.0	0.0	0.0	285.6667
146.4	3.6	5.1	4.8	0.3	149.7	4.2	3.3	3.9	1.0	1.0	0.0	2.3333
1.1	148.9	11.1	10.9	7.0	143.0	12.7	11.9	5.9	0.0	0.0	0.0	282.0
3.5	146.5	16.9	16.6	9.3	140.7	18.4	17.6	5.8	0.0	0.0	0.0	397.0
3.1	146.9	15.7	15.0	9.7	140.3	15.9	14.9	6.6	0.0	0.0	0.0	265.6667
144.0	6.0	2.4	1.9	0.5	149.5	3.4	0.9	6.5	1.0	1.0	0.0	1.625
147.9	2.1	3.6	3.2	6.5	143.5	7.0	6.0	8.6	1.0	0.0	0.0	157.5
2.6	147.4	4.7	4.1	9.3	140.7	11.5	10.5	6.7	0.0	0.0	0.0	239.75
0.5	149.5	14.1	13.7	6.2	143.8	14.3	13.3	5.7	0.0	0.0	0.0	208.25
144.7	5.3	21.9	21.2	1.2	148.8	24.5	22.2	6.5	1.0	1.0	0.0	2.4
150.0	0.0	10.6	10.4	3.8	146.2	11.5	11.0	3.8	1.0	1.0	0.0	3.0
2.5	147.5	2.5	2.3	8.4	141.6	4.6	4.0	5.9	0.0	0.0	0.0	216.6667
144.6	5.4	4.7	4.5	0.1	149.9	2.8	1.9	5.5	1.0	1.0	0.0	2.5
3.4	146.6	26.6	26.2	10.6	139.4	28.7	27.7	7.2	0.0	0.0	0.0	183.75
147.5	2.5	2.1	1.8	2.5	147.5	2.7	1.0	5.0	1.0	1.0	0.0	6.0
3.4	146.6	4.7	4.4	11.3	138.7	8.8	7.0	7.9	0.0	0.0	0.0	209.25
145.8	4.2	1.7	1.4	0.0	150.0	1.9	1.3	4.2	1.0	1.0	1.0	3.0
149.6	0.4	3.8	3.5	3.7	146.3	3.7	2.8	4.1	1.0	1.0	0.0	4.0
0.6	149.4	1.0	0.8	6.9	143.1	3.2	2.4	6.3	0.0	0.0	1.0	289.0
148.5	1.5	9.3	9.1	2.5	147.5	9.8	9.1	4.0	1.0	1.0	0.0	4.0
2.5	147.5	4.0	3.8	8.8	141.2	6.3	5.5	6.3	0.0	0.0	0.0	268.0
149.6	0.4	16.8	16.4	4.9	145.1	17.0	16.0	5.3	1.0	0.0	0.0	239.0
148.0	2.0	27.2	27.0	1.3	148.7	26.5	25.7	3.3	1.0	1.0	0.0	3.5
2.1	147.9	4.1	3.9	8.0	142.0	6.7	6.0	5.9	0.0	0.0	0.0	220.3333
146.3	3.7	5.2	5.0	0.1	149.9	6.0	5.4	3.8	1.0	1.0	0.0	4.0
149.0	1.0	2.7	2.5	5.1	144.9	5.0	4.2	6.1	1.0	0.0	0.0	220.5
144.8	5.2	38.1	37.8	0.6	149.4	2.0	1.3	5.8	1.0	1.0	0.0	2.6667
146.5	3.5	1.7	1.4	4.6	145.4	4.0	3.2	8.1	1.0	0.0	1.0	226.0
147.3	2.7	5.2	4.8	1.8	148.2	5.3	4.4	4.5	1.0	1.0	0.0	2.6667
149.9	0.1	2.6	2.3	3.8	146.2	2.0	1.2	3.9	1.0	1.0	0.0	2.6667
2.5	147.5	2.6	2.3	9.0	141.0	5.2	4.4	6.5	0.0	0.0	0.0	313.6667
146.6	3.4	1.5	1.2	0.6	149.4	1.7	1.0	4.0	1.0	1.0	1.0	2.3333
148.5	1.5	1.9	1.6	3.0	147.0	2.4	1.7	4.5	1.0	1.0	0.0	2.25
3.1	146.9	4.6	4.2	11.1	138.9	8.1	7.2	8.0	0.0	0.0	0.0	215.0
146.3	3.7	2.9	2.7	1.2	148.8	3.3	2.3	4.9	1.0	1.0	0.0	3.3333
0.2	149.8	3.9	3.6	6.6	143.4	5.4	4.4	6.4	0.0	0.0	0.0	309.3333
149.9	0.1	5.8	5.4	6.5	143.5	7.8	7.0	6.6	1.0	0.0	0.0	230.75
147.5	2.5	33.4	32.3	1.5	148.5	29.3	28.0	4.0	1.0	1.0	0.0	2.6667
2.5	147.5	5.0	4.7	10.3	139.7	8.8	8.0	7.8	0.0	0.0	0.0	220.0
81.0	0.7	12.9	12.3	8.3	106.3	5.9	4.9	9.0	1.0	0.0	0.0	96.25
1.5	108.3	58.3	58.0	10.0	99.8	23.1	21.7	8.5	0.0	0.0	0.0	173.5
2.9	114.1	82.8	82.0	8.9	108.1	42.0	40.6	6.0	0.0	0.0	0.0	257.3333
3.1	113.9	13.1	12.7	10.7	106.3	15.8	14.9	7.6	0.0	0.0	0.0	192.5
115.1	1.9	6.6	6.2	4.6	112.4	8.4	7.5	6.5	1.0	0.0	0.0	151.3333
