AIY_adv	TUY_adv	OccTime_adv	HeadwayFoll_adv	GapFoll_adv	AIY_stop	TUY_stop	OccTime_stop	HeadwayFoll_stop	GapFoll_stop	travel_time	adv_indication	decision	car_follow	occ_ratio	month	day	hour
84.3	3.4	0.3	1.3	0.9	1.1	106.2	0.9	1.3	0.4	4.5	1.0	1.0	1.0	3.0	01	01	07
1.5	105.8	0.3	4.9	4.6	9.3	98.0	56.7	8.2	7.3	7.8	0.0	0.0	0.0	189.0	01	01	07
104.8	0.2	0.4	132.7	132.4	7.6	87.4	49.5	135.5	134.5	7.8	1.0	0.0	0.0	123.75	01	01	07
2.4	97.6	0.5	45.3	44.7	8.0	92.0	52.8	42.7	41.4	5.6	0.0	0.0	0.0	105.6	01	01	08
99.7	0.3	0.3	62.5	62.0	3.5	96.5	0.7	72.6	48.3	3.8	1.0	1.0	0.0	2.3333	01	01	08
3.3	96.7	0.4	73.6	73.2	9.5	90.5	56.4	101.4	100.9	6.2	0.0	0.0	0.0	141.0	01	01	08
2.3	97.7	0.4	24.7	24.2	11.2	88.8	45.3	28.3	27.2	8.9	0.0	0.0	0.0	113.25	01	01	08
0.4	104.6	0.4	146.4	146.0	6.0	99.0	54.2	145.1	143.7	5.6	0.0	0.0	0.0	135.5	01	01	08
0.4	63.5	0.3	35.8	35.6	5.7	58.2	24.8	36.5	35.7	5.3	0.0	0.0	0.0	82.6667	01	01	09
43.9	5.3	0.3	72.2	71.8	48.6	0.6	0.9	71.5	70.5	4.7	1.0	1.0	0.0	3.0	01	01	09
60.3	1.2	1.0	16.9	16.6	9.2	43.6	10.0	21.1	15.5	10.4	1.0	0.0	0.0	10.0	01	01	09
1.6	114.5	0.3	47.0	46.4	7.9	108.2	80.8	38.1	36.0	6.3	0.0	0.0	0.0	269.3333	01	01	09
3.2	96.8	0.4	67.2	66.5	10.0	90.0	66.3	42.0	39.9	6.8	0.0	0.0	0.0	165.75	01	01	09
98.7	1.3	0.4	12.7	12.4	4.0	101.0	1.0	14.4	13.7	5.3	1.0	1.0	0.0	2.5	01	01	09
98.5	1.5	0.3	15.6	15.3	3.9	91.1	63.3	16.6	15.8	5.4	1.0	0.0	0.0	211.0	01	01	09
54.4	2.7	0.3	37.8	37.5	1.1	115.0	0.8	37.8	37.0	3.8	1.0	1.0	0.0	2.6667	01	01	09
56.2	0.9	0.2	1.8	1.5	2.8	113.3	0.8	1.7	0.9	3.7	1.0	1.0	1.0	4.0	01	01	09
110.7	5.4	0.3	5.3	4.7	114.7	1.4	0.8	5.4	4.6	4.0	1.0	1.0	0.0	2.6667	01	01	09
92.7	2.3	0.4	79.7	79.2	2.6	97.4	1.0	74.8	40.7	4.9	1.0	1.0	0.0	2.5	01	01	10
1.4	98.6	0.4	3.7	3.3	10.5	89.5	63.6	7.9	6.9	9.1	0.0	0.0	0.0	159.0	01	01	10
0.4	99.6	0.3	113.2	113.0	4.7	95.3	0.7	44.1	28.3	4.3	0.0	1.0	0.0	2.3333	01	01	10
96.4	4.9	0.3	62.2	61.6	101.2	0.1	0.9	22.2	20.5	4.8	1.0	1.0	0.0	3.0	01	01	10
98.3	1.7	0.4	43.9	43.1	2.4	97.6	0.8	24.1	21.8	4.1	1.0	1.0	0.0	2.0	01	01	10
95.8	4.2	0.5	81.2	80.8	99.6	0.4	0.7	35.0	33.0	3.8	1.0	1.0	0.0	1.4	01	01	10
2.7	97.3	0.4	56.2	55.5	11.0	89.0	61.2	40.4	39.2	8.3	0.0	0.0	0.0	153.0	01	01	10
90.3	4.7	0.4	42.1	41.7	0.4	99.6	1.0	32.2	30.3	5.1	1.0	1.0	0.0	2.5	01	01	11
97.9	2.1	0.5	41.9	41.4	1.9	98.1	0.8	38.3	27.3	4.0	1.0	1.0	0.0	1.6	01	01	11
100.0	0.0	0.7	135.3	135.1	4.0	96.0	0.8	174.9	128.4	4.0	1.0	1.0	0.0	1.1429	01	01	11
97.6	0.4	0.6	61.9	61.1	3.6	93.4	0.8	56.0	43.3	4.0	1.0	1.0	0.0	1.3333	01	01	11
92.2	4.8	0.8	31.7	31.4	96.6	0.4	0.8	27.8	25.6	4.4	1.0	1.0	0.0	1.0	01	01	11
142.8	4.7	0.4	2.4	2.1	0.2	58.9	0.9	2.5	1.6	4.9	1.0	1.0	0.0	2.25	01	01	11
144.9	2.6	0.4	6.1	5.8	1.2	57.9	0.7	84.0	81.7	3.8	1.0	1.0	0.0	1.75	01	01	11
146.7	0.8	0.3	3.9	3.5	4.5	54.6	24.4	4.3	3.4	5.3	1.0	0.0	0.0	81.3333	01	01	11
53.9	5.2	0.2	9.7	9.4	57.8	1.3	0.8	9.5	8.7	3.9	1.0	1.0	0.0	4.0	01	01	11
57.7	1.4	0.4	3.8	3.6	4.8	118.1	81.0	6.1	5.3	6.2	1.0	0.0	0.0	202.5	01	01	11
107.1	4.0	0.4	49.0	48.0	0.6	122.3	0.8	32.2	29.8	4.6	1.0	1.0	0.0	2.0	01	01	11
109.6	1.5	0.4	2.5	2.1	2.9	120.0	0.8	2.3	1.5	4.4	1.0	1.0	0.0	2.0	01	01	11
113.3	3.7	0.3	4.0	3.8	0.4	110.7	0.8	4.9	4.1	4.1	1.0	1.0	0.0	2.6667	01	01	11
99.5	0.5	0.3	23.2	23.0	3.5	96.5	0.8	23.5	22.8	4.0	1.0	1.0	0.0	2.6667	01	01	11
0.9	99.1	0.3	24.0	23.7	4.4	95.6	0.7	23.6	22.9	3.5	0.0	1.0	0.0	2.3333	01	01	11
0.8	104.2	0.3	12.1	11.8	5.9	99.1	68.6	13.3	12.5	5.1	0.0	0.0	0.0	228.6667	01	01	11
2.5	102.5	0.5	57.7	57.2	10.0	95.0	61.6	81.2	34.3	7.5	0.0	0.0	0.0	123.2	01	01	11
95.4	4.6	0.5	40.4	40.0	1.6	98.4	1.2	22.5	20.6	6.2	1.0	1.0	0.0	2.4	01	01	12
97.7	2.3	0.4	31.7	31.0	2.1	102.9	0.9	19.1	17.6	4.4	1.0	1.0	0.0	2.25	01	01	12
97.7	2.3	0.4	20.5	20.0	1.9	103.1	0.9	19.8	18.9	4.2	1.0	1.0	0.0	2.25	01	01	12
95.4	4.6	0.3	72.8	72.3	99.8	0.2	0.8	67.6	29.1	4.4	1.0	1.0	0.0	2.6667	01	01	12
99.0	1.0	0.3	19.0	18.5	3.0	93.1	0.8	16.4	15.1	4.0	1.0	1.0	0.0	2.6667	01	01	12
94.6	5.4	0.4	20.1	19.7	99.3	0.7	0.8	20.1	19.1	4.7	1.0	1.0	0.0	2.0	01	01	12
96.5	3.5	0.4	18.3	17.9	1.4	98.6	1.0	18.2	17.2	4.9	1.0	1.0	0.0	2.5	01	01	12
98.9	1.1	1.0	19.7	19.0	4.1	95.9	69.8	19.4	18.5	5.2	1.0	0.0	0.0	69.8	01	01	12
96.6	3.4	0.4	11.4	10.9	99.8	0.2	0.6	10.8	10.1	3.2	1.0	1.0	0.0	1.5	01	01	12
113.7	3.3	0.4	4.6	4.1	0.9	116.1	0.8	89.0	33.4	4.2	1.0	1.0	0.0	2.0	01	01	12
115.9	1.1	0.3	7.0	6.7	3.0	114.0	0.8	7.5	6.8	4.1	1.0	1.0	0.0	2.6667	01	01	12
1.6	115.4	0.3	2.7	2.4	8.3	108.7	77.6	5.3	4.5	6.7	0.0	0.0	0.0	258.6667	01	01	12
1.2	115.8	0.4	14.1	13.8	8.8	108.2	79.1	18.2	17.5	7.6	0.0	0.0	0.0	197.75	01	01	12
99.5	0.5	0.4	18.5	18.1	6.1	93.9	69.6	17.7	16.2	6.6	1.0	0.0	0.0	174.0	01	01	12
94.2	5.8	0.6	27.6	27.1	0.4	181.7	1.2	67.5	25.6	6.2	1.0	1.0	0.0	2.0	01	01	12
94.5	5.5	0.4	43.7	43.2	99.4	0.6	0.9	18.7	16.6	4.9	1.0	1.0	0.0	2.25	01	01	14
96.7	3.3	0.3	30.0	29.3	0.6	104.4	0.7	15.9	14.5	3.9	1.0	1.0	0.0	2.3333	01	01	14
101.2	3.8	0.3	2.4	2.1	0.2	94.8	0.8	1.9	1.0	4.0	1.0	1.0	0.0	2.6667	01	01	14
96.8	3.2	0.2	15.3	14.9	0.4	99.6	0.7	12.6	11.4	3.6	1.0	1.0	0.0	3.5	01	01	14
98.9	1.1	0.3	33.4	32.8	2.8	102.2	0.8	27.6	26.2	3.9	1.0	1.0	0.0	2.6667	01	01	14
